City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
459,ban huai thalaeng,14.9833,102.65,28.210000000000036,43,28,3.31,TH,1706755459
460,saint-joseph,-21.3667,55.6167,23.210000000000036,88,87,6.99,RE,1706755459
461,cockburn town,21.4612,-71.1419,23.480000000000018,61,2,1.27,TC,1706755460
462,ancud,-41.8697,-73.8203,14.980000000000018,96,12,3.66,CL,1706755460
463,lazaro cardenas,17.9583,-102.2,25.970000000000027,77,100,0.74,MX,1706755197
464,ulsan,35.5372,129.3167,7.110000000000014,78,100,4.77,KR,1706755460
465,ar rass,25.8694,43.4973,11.980000000000018,35,3,5.49,SA,1706755461
466,tromso,69.6496,18.957,2.0100000000000477,80,20,4.12,NO,1706755461
467,burang,30.25,81.1667,-8.399999999999977,91,100,4.17,CN,1706755461
468,hammerfest,70.6634,23.6821,-0.75,86,100,7.2,NO,1706755461
469,yemetsk,63.4721,41.7941,-1.2099999999999795,94,100,4.31,RU,1706755462
470,ovalle,-30.5983,-71.2003,23.05000000000001,64,0,1.07,CL,1706755462
471,barabai,-2.5833,115.3833,30.83000000000004,66,100,1.26,ID,1706755462
472,tual,-5.6667,132.75,28.810000000000002,77,73,7.85,ID,1706755358
473,el bolson,-41.9667,-71.5167,13.580000000000041,91,0,2.32,AR,1706755463
474,muzaffarabad,34.37,73.4711,5.240000000000009,88,100,1.86,PK,1706755463
475,puerto maldonado,-12.6,-69.1833,22.82000000000005,99,100,1.53,PE,1706755463
476,rongelap,11.1635,166.8941,26.450000000000045,83,90,10.65,MH,1706755463
477,chokwe,-24.5333,32.9833,20.82000000000005,93,1,2.4,MZ,1706755464
478,matamoros,25.5333,-103.25,21.060000000000002,34,100,3.6,MX,1706755179
479,guerrero negro,27.9769,-114.0611,18.150000000000034,64,0,4.81,MX,1706755375
480,macusani,-14.0833,-70.4333,5.189999999999998,91,100,1.84,PE,1706755465
481,al ghayzah,16.2079,52.176,23.82000000000005,79,43,3.8,YE,1706755465
482,hovd,48.0056,91.6419,-19.43999999999997,87,99,0.3,MN,1706755465
483,zhangye,38.9342,100.4517,-5.229999999999961,42,100,2.47,CN,1706755466
484,kurnool,15.8309,78.0425,23.590000000000032,72,90,4.11,IN,1706755466
485,taksimo,56.3444,114.8794,-25.44999999999999,85,31,0.42,RU,1706755466
486,huarmey,-10.0681,-78.1522,24.200000000000045,79,97,3.13,PE,1706755466
487,princeville,45.7668,-61.2985,-8.17999999999995,88,0,3.6,CA,1706755466
488,akureyri,65.6835,-18.0878,-5.039999999999964,58,0,1.54,IS,1706755467
489,devarkonda,16.7,78.9333,22.27000000000004,65,38,1.91,IN,1706755467
490,lijiang,26.8688,100.2207,6.439999999999998,49,9,2.26,CN,1706755467
